Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
0,0.1921,0.1921,0.1921,0.2621,0.2621,0.2621,0.1833,0.1833,0.1833,0.1859,0.1859,0.1859
1,0.1903,0.1903,0.1903,0.1958,0.1958,0.1958,0.1306,0.1306,0.1306,0.1308,0.1308,0.1308
2,0.2647,0.2647,0.2647,0.2377,0.2377,0.2377,0.1924,0.1924,0.1924,0.1944,0.1944,0.1944
3,0.2703,0.2703,0.2703,0.3861,0.3861,0.3861,0.2815,0.2815,0.2815,0.2818,0.2818,0.2818
4,0.3252,0.3252,0.3252,0.2596,0.2596,0.2596,0.2001,0.2001,0.2001,0.1988,0.1988,0.1988
5,0.2573,0.2573,0.2573,0.3845,0.3845,0.3845,0.2275,0.2275,0.2275,0.224,0.224,0.224
6,0.2702,0.2702,0.2702,0.4088,0.4088,0.4088,0.2991,0.2991,0.2991,0.2982,0.2982,0.2982
7,0.2384,0.2384,0.2384,0.543,0.543,0.543,0.3452,0.3452,0.3452,0.343,0.343,0.343
8,0.3606,0.3606,0.3606,0.4308,0.4308,0.4308,0.3392,0.3392,0.3392,0.3403,0.3403,0.3403
9,0.4119,0.4119,0.4119,0.4634,0.4634,0.4634,0.314,0.314,0.314,0.3129,0.3129,0.3129
10,0.3525,0.3525,0.3525,0.385,0.385,0.385,0.3737,0.3737,0.3737,0.3732,0.3732,0.3732
11,0.338,0.338,0.338,0.2786,0.2786,0.2786,0.3232,0.3232,0.3232,0.3235,0.3235,0.3235
12,0.3805,0.3805,0.3805,0.2038,0.2038,0.2038,0.3488,0.3488,0.3488,0.3487,0.3487,0.3487
13,0.3535,0.3535,0.3535,0.3517,0.3517,0.3517,0.3544,0.3544,0.3544,0.3589,0.3589,0.3589
14,0.3529,0.3529,0.3529,0.528,0.528,0.528,0.3064,0.3064,0.3064,0.3092,0.3092,0.3092
15,0.3437,0.3437,0.3437,0.4795,0.4795,0.4795,0.366,0.366,0.366,0.3704,0.3704,0.3704
16,0.3005,0.3005,0.3005,0.4825,0.4825,0.4825,0.2893,0.2893,0.2893,0.413,0.413,0.413
17,0.2738,0.2738,0.2738,0.4482,0.4482,0.4482,0.5019,0.5019,0.5019,0.4697,0.4697,0.4697
18,0.3469,0.3469,0.3469,0.6138,0.6138,0.6138,0.3792,0.3792,0.3792,0.5268,0.5268,0.5268
19,0.4405,0.4405,0.4405,0.5877,0.5877,0.5877,0.4454,0.4454,0.4454,0.5599,0.5599,0.5599
20,0.3642,0.3642,0.3642,0.6271,0.6271,0.6271,0.3665,0.3665,0.3665,0.5897,0.5897,0.5897
21,0.3215,0.3215,0.3215,0.6555,0.6555,0.6555,0.4015,0.4015,0.4015,0.6054,0.6054,0.6054
22,0.4029,0.4029,0.4029,0.6194,0.6194,0.6194,0.4893,0.4893,0.4893,0.6125,0.6125,0.6125
23,0.4603,0.4603,0.4603,0.5407,0.5407,0.5407,0.3862,0.3862,0.3862,0.6221,0.6221,0.6221
24,0.4188,0.4188,0.4188,0.5454,0.5454,0.5454,0.4698,0.4698,0.4698,0.6313,0.6313,0.6313
