Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
0,0.3348,0.3348,0.3348,0.2807,0.2807,0.2807,0.185,0.185,0.185,0.1856,0.1856,0.1856
1,0.2923,0.2923,0.2923,0.2211,0.2211,0.2211,0.2109,0.2109,0.2109,0.2096,0.2096,0.2096
2,0.2403,0.2403,0.2403,0.3236,0.3236,0.3236,0.2,0.2,0.2,0.2,0.2,0.2
3,0.332,0.332,0.332,0.3154,0.3154,0.3154,0.2574,0.2574,0.2574,0.2557,0.2557,0.2557
4,0.3054,0.3054,0.3054,0.4707,0.4707,0.4707,0.2476,0.2476,0.2476,0.2464,0.2464,0.2464
5,0.3006,0.3006,0.3006,0.4517,0.4517,0.4517,0.2235,0.2235,0.2235,0.2219,0.2219,0.2219
6,0.2668,0.2668,0.2668,0.5015,0.5015,0.5015,0.2364,0.2364,0.2364,0.2341,0.2341,0.2341
7,0.3184,0.3184,0.3184,0.3446,0.3446,0.3446,0.2994,0.2994,0.2994,0.292,0.292,0.292
8,0.2114,0.2114,0.2114,0.3595,0.3595,0.3595,0.2847,0.2847,0.2847,0.2851,0.2851,0.2851
9,0.3253,0.3253,0.3253,0.4361,0.4361,0.4361,0.2636,0.2636,0.2636,0.2558,0.2558,0.2558
10,0.5427,0.5427,0.5427,0.5158,0.5158,0.5158,0.3386,0.3386,0.3386,0.3349,0.3349,0.3349
11,0.2476,0.2476,0.2476,0.5115,0.5115,0.5115,0.4462,0.4462,0.4462,0.4584,0.4584,0.4584
12,0.4682,0.4682,0.4682,0.4776,0.4776,0.4776,0.3708,0.3708,0.3708,0.3657,0.3657,0.3657
13,0.4883,0.4883,0.4883,0.4394,0.4394,0.4394,0.3352,0.3352,0.3352,0.3549,0.3549,0.3549
14,0.3807,0.3807,0.3807,0.5668,0.5668,0.5668,0.4795,0.4795,0.4795,0.4671,0.4671,0.4671
15,0.38,0.38,0.38,0.6075,0.6075,0.6075,0.2682,0.2682,0.2682,0.2694,0.2694,0.2694
16,0.3591,0.3591,0.3591,0.5609,0.5609,0.5609,0.5251,0.5251,0.5251,0.4449,0.4449,0.4449
17,0.5604,0.5604,0.5604,0.5644,0.5644,0.5644,0.5922,0.5922,0.5922,0.4339,0.4339,0.4339
18,0.3444,0.3444,0.3444,0.6762,0.6762,0.6762,0.5993,0.5993,0.5993,0.5256,0.5256,0.5256
19,0.4811,0.4811,0.4811,0.5002,0.5002,0.5002,0.622,0.622,0.622,0.408,0.408,0.408
20,0.5253,0.5253,0.5253,0.5164,0.5164,0.5164,0.6173,0.6173,0.6173,0.3794,0.3794,0.3794
21,0.2422,0.2422,0.2422,0.5427,0.5427,0.5427,0.6498,0.6498,0.6498,0.4436,0.4436,0.4436
22,0.4898,0.4898,0.4898,0.5501,0.5501,0.5501,0.6374,0.6374,0.6374,0.4904,0.4904,0.4904
23,0.5127,0.5127,0.5127,0.549,0.549,0.549,0.6327,0.6327,0.6327,0.4596,0.4596,0.4596
24,0.3935,0.3935,0.3935,0.5975,0.5975,0.5975,0.589,0.589,0.589,0.3312,0.3312,0.3312
25,0.6006,0.6006,0.6006,0.5937,0.5937,0.5937,0.657,0.657,0.657,0.424,0.424,0.424
26,0.5844,0.5844,0.5844,0.5782,0.5782,0.5782,0.661,0.661,0.661,0.3782,0.3782,0.3782
27,0.5118,0.5118,0.5118,0.5332,0.5332,0.5332,0.6579,0.6579,0.6579,0.5344,0.5344,0.5344
28,0.5559,0.5559,0.5559,0.623,0.623,0.623,0.5847,0.5847,0.5847,0.5085,0.5085,0.5085
29,0.5278,0.5278,0.5278,0.6217,0.6217,0.6217,0.6242,0.6242,0.6242,0.5604,0.5604,0.5604
30,0.5675,0.5675,0.5675,0.6045,0.6045,0.6045,0.6376,0.6376,0.6376,0.5781,0.5781,0.5781
31,0.5929,0.5929,0.5929,0.6805,0.6805,0.6805,0.6608,0.6608,0.6608,0.5091,0.5091,0.5091
32,0.4147,0.4147,0.4147,0.6559,0.6559,0.6559,0.6674,0.6674,0.6674,0.5614,0.5614,0.5614
33,0.5347,0.5347,0.5347,0.6722,0.6722,0.6722,0.6709,0.6709,0.6709,0.6038,0.6038,0.6038
34,0.5606,0.5606,0.5606,0.593,0.593,0.593,0.6537,0.6537,0.6537,0.6338,0.6338,0.6338
35,0.569,0.569,0.569,0.5803,0.5803,0.5803,0.6734,0.6734,0.6734,0.5421,0.5421,0.5421
36,0.5434,0.5434,0.5434,0.6382,0.6382,0.6382,0.5875,0.5875,0.5875,0.5854,0.5854,0.5854
37,0.6,0.6,0.6,0.6516,0.6516,0.6516,0.6199,0.6199,0.6199,0.5722,0.5722,0.5722
38,0.4814,0.4814,0.4814,0.6192,0.6192,0.6192,0.616,0.616,0.616,0.5914,0.5914,0.5914
39,0.563,0.563,0.563,0.6117,0.6117,0.6117,0.6638,0.6638,0.6638,0.6056,0.6056,0.6056
40,0.5841,0.5841,0.5841,0.6226,0.6226,0.6226,0.6727,0.6727,0.6727,0.6486,0.6486,0.6486
41,0.5054,0.5054,0.5054,0.5935,0.5935,0.5935,0.6756,0.6756,0.6756,0.6118,0.6118,0.6118
42,0.4732,0.4732,0.4732,0.6503,0.6503,0.6503,0.6711,0.6711,0.6711,0.6019,0.6019,0.6019
43,0.5402,0.5402,0.5402,0.6031,0.6031,0.6031,0.6805,0.6805,0.6805,0.6468,0.6468,0.6468
44,0.6029,0.6029,0.6029,0.6725,0.6725,0.6725,0.6818,0.6818,0.6818,0.5529,0.5529,0.5529
45,0.6247,0.6247,0.6247,0.672,0.672,0.672,0.6831,0.6831,0.6831,0.5726,0.5726,0.5726
46,0.5727,0.5727,0.5727,0.5949,0.5949,0.5949,0.6818,0.6818,0.6818,0.5789,0.5789,0.5789
47,0.5163,0.5163,0.5163,0.6484,0.6484,0.6484,0.6349,0.6349,0.6349,0.5675,0.5675,0.5675
48,0.4973,0.4973,0.4973,0.7059,0.7059,0.7059,0.6593,0.6593,0.6593,0.4303,0.4303,0.4303
49,0.5933,0.5933,0.5933,0.7222,0.7222,0.7222,0.5896,0.5896,0.5896,0.6027,0.6027,0.6027
50,0.5051,0.5051,0.5051,0.7258,0.7258,0.7258,0.6473,0.6473,0.6473,0.5899,0.5899,0.5899
51,0.5054,0.5054,0.5054,0.7237,0.7237,0.7237,0.6785,0.6785,0.6785,0.6067,0.6067,0.6067
52,0.575,0.575,0.575,0.7068,0.7068,0.7068,0.6797,0.6797,0.6797,0.5995,0.5995,0.5995
53,0.4836,0.4836,0.4836,0.7156,0.7156,0.7156,0.6879,0.6879,0.6879,0.5736,0.5736,0.5736
54,0.597,0.597,0.597,0.7031,0.7031,0.7031,0.6829,0.6829,0.6829,0.6099,0.6099,0.6099
55,0.6048,0.6048,0.6048,0.7335,0.7335,0.7335,0.6807,0.6807,0.6807,0.6067,0.6067,0.6067
56,0.6382,0.6382,0.6382,0.6999,0.6999,0.6999,0.6861,0.6861,0.6861,0.6165,0.6165,0.6165
57,0.5843,0.5843,0.5843,0.6663,0.6663,0.6663,0.6874,0.6874,0.6874,0.6096,0.6096,0.6096
58,0.538,0.538,0.538,0.6628,0.6628,0.6628,0.689,0.689,0.689,0.5954,0.5954,0.5954
59,0.5273,0.5273,0.5273,0.7606,0.7606,0.7606,0.6806,0.6806,0.6806,0.5802,0.5802,0.5802
60,0.5907,0.5907,0.5907,0.7119,0.7119,0.7119,0.6818,0.6818,0.6818,0.5859,0.5859,0.5859
61,0.5866,0.5866,0.5866,0.7378,0.7378,0.7378,0.6821,0.6821,0.6821,0.5587,0.5587,0.5587
62,0.6522,0.6522,0.6522,0.7236,0.7236,0.7236,0.6178,0.6178,0.6178,0.5438,0.5438,0.5438
63,0.5477,0.5477,0.5477,0.6848,0.6848,0.6848,0.6712,0.6712,0.6712,0.5644,0.5644,0.5644
64,0.6475,0.6475,0.6475,0.5548,0.5548,0.5548,0.681,0.681,0.681,0.5578,0.5578,0.5578
65,0.5436,0.5436,0.5436,0.5837,0.5837,0.5837,0.6551,0.6551,0.6551,0.5937,0.5937,0.5937
66,0.6268,0.6268,0.6268,0.5084,0.5084,0.5084,0.5793,0.5793,0.5793,0.5251,0.5251,0.5251
67,0.5679,0.5679,0.5679,0.6487,0.6487,0.6487,0.6323,0.6323,0.6323,0.5553,0.5553,0.5553
68,0.5017,0.5017,0.5017,0.6684,0.6684,0.6684,0.5837,0.5837,0.5837,0.5929,0.5929,0.5929
69,0.5615,0.5615,0.5615,0.659,0.659,0.659,0.6377,0.6377,0.6377,0.6513,0.6513,0.6513
70,0.6466,0.6466,0.6466,0.6592,0.6592,0.6592,0.6804,0.6804,0.6804,0.5315,0.5315,0.5315
71,0.638,0.638,0.638,0.6588,0.6588,0.6588,0.6872,0.6872,0.6872,0.6439,0.6439,0.6439
72,0.5326,0.5326,0.5326,0.7191,0.7191,0.7191,0.6944,0.6944,0.6944,0.472,0.472,0.472
73,0.6061,0.6061,0.6061,0.6759,0.6759,0.6759,0.6944,0.6944,0.6944,0.5018,0.5018,0.5018
74,0.5824,0.5824,0.5824,0.6879,0.6879,0.6879,0.6971,0.6971,0.6971,0.5378,0.5378,0.5378
75,0.7085,0.7085,0.7085,0.6496,0.6496,0.6496,0.6944,0.6944,0.6944,0.6097,0.6097,0.6097
76,0.6385,0.6385,0.6385,0.7428,0.7428,0.7428,0.6913,0.6913,0.6913,0.5634,0.5634,0.5634
77,0.6581,0.6581,0.6581,0.7088,0.7088,0.7088,0.6965,0.6965,0.6965,0.5852,0.5852,0.5852
78,0.5432,0.5432,0.5432,0.738,0.738,0.738,0.6866,0.6866,0.6866,0.5043,0.5043,0.5043
79,0.6302,0.6302,0.6302,0.7209,0.7209,0.7209,0.6624,0.6624,0.6624,0.5289,0.5289,0.5289
