Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
0,0.2216,0.2216,0.2216,0.179,0.179,0.179,0.1996,0.1996,0.1996,0.2007,0.2007,0.2007
1,0.3021,0.3021,0.3021,0.2802,0.2802,0.2802,0.1823,0.1823,0.1823,0.1812,0.1812,0.1812
2,0.2621,0.2621,0.2621,0.1278,0.1278,0.1278,0.2014,0.2014,0.2014,0.2027,0.2027,0.2027
3,0.3257,0.3257,0.3257,0.2387,0.2387,0.2387,0.1983,0.1983,0.1983,0.1947,0.1947,0.1947
4,0.2708,0.2708,0.2708,0.2784,0.2784,0.2784,0.1958,0.1958,0.1958,0.1886,0.1886,0.1886
5,0.3491,0.3491,0.3491,0.414,0.414,0.414,0.2016,0.2016,0.2016,0.2013,0.2013,0.2013
6,0.2567,0.2567,0.2567,0.2963,0.2963,0.2963,0.2496,0.2496,0.2496,0.242,0.242,0.242
7,0.4814,0.4814,0.4814,0.332,0.332,0.332,0.4641,0.4641,0.4641,0.471,0.471,0.471
8,0.6648,0.6648,0.6648,0.3639,0.3639,0.3639,0.3079,0.3079,0.3079,0.3008,0.3008,0.3008
9,0.4765,0.4765,0.4765,0.315,0.315,0.315,0.3592,0.3592,0.3592,0.3521,0.3521,0.3521
10,0.4694,0.4694,0.4694,0.3071,0.3071,0.3071,0.2922,0.2922,0.2922,0.2926,0.2926,0.2926
11,0.4333,0.4333,0.4333,0.3726,0.3726,0.3726,0.3469,0.3469,0.3469,0.3479,0.3479,0.3479
12,0.4192,0.4192,0.4192,0.3462,0.3462,0.3462,0.3305,0.3305,0.3305,0.3306,0.3306,0.3306
13,0.4489,0.4489,0.4489,0.2659,0.2659,0.2659,0.3603,0.3603,0.3603,0.3607,0.3607,0.3607
14,0.5838,0.5838,0.5838,0.3897,0.3897,0.3897,0.3387,0.3387,0.3387,0.3416,0.3416,0.3416
15,0.5567,0.5567,0.5567,0.5362,0.5362,0.5362,0.3533,0.3533,0.3533,0.351,0.351,0.351
16,0.5602,0.5602,0.5602,0.4279,0.4279,0.4279,0.3921,0.3921,0.3921,0.3925,0.3925,0.3925
17,0.5447,0.5447,0.5447,0.4151,0.4151,0.4151,0.5037,0.5037,0.5037,0.3351,0.3351,0.3351
18,0.6161,0.6161,0.6161,0.4503,0.4503,0.4503,0.4427,0.4427,0.4427,0.4378,0.4378,0.4378
19,0.6263,0.6263,0.6263,0.4202,0.4202,0.4202,0.5324,0.5324,0.5324,0.3309,0.3309,0.3309
20,0.559,0.559,0.559,0.471,0.471,0.471,0.4754,0.4754,0.4754,0.4197,0.4197,0.4197
21,0.4674,0.4674,0.4674,0.5069,0.5069,0.5069,0.5439,0.5439,0.5439,0.3307,0.3307,0.3307
22,0.5174,0.5174,0.5174,0.3936,0.3936,0.3936,0.5458,0.5458,0.5458,0.4146,0.4146,0.4146
23,0.4893,0.4893,0.4893,0.4475,0.4475,0.4475,0.574,0.574,0.574,0.4858,0.4858,0.4858
24,0.4389,0.4389,0.4389,0.5424,0.5424,0.5424,0.5315,0.5315,0.5315,0.436,0.436,0.436
25,0.5146,0.5146,0.5146,0.4745,0.4745,0.4745,0.5716,0.5716,0.5716,0.4165,0.4165,0.4165
26,0.5063,0.5063,0.5063,0.4451,0.4451,0.4451,0.5738,0.5738,0.5738,0.365,0.365,0.365
27,0.5121,0.5121,0.5121,0.4817,0.4817,0.4817,0.5358,0.5358,0.5358,0.4413,0.4413,0.4413
28,0.5555,0.5555,0.5555,0.5921,0.5921,0.5921,0.5611,0.5611,0.5611,0.3679,0.3679,0.3679
29,0.5697,0.5697,0.5697,0.5215,0.5215,0.5215,0.5979,0.5979,0.5979,0.4323,0.4323,0.4323
30,0.5697,0.5697,0.5697,0.6205,0.6205,0.6205,0.5897,0.5897,0.5897,0.4618,0.4618,0.4618
31,0.5989,0.5989,0.5989,0.4865,0.4865,0.4865,0.5566,0.5566,0.5566,0.5331,0.5331,0.5331
32,0.5332,0.5332,0.5332,0.5285,0.5285,0.5285,0.5914,0.5914,0.5914,0.5224,0.5224,0.5224
33,0.5498,0.5498,0.5498,0.5204,0.5204,0.5204,0.5843,0.5843,0.5843,0.4529,0.4529,0.4529
34,0.5147,0.5147,0.5147,0.5425,0.5425,0.5425,0.6115,0.6115,0.6115,0.4606,0.4606,0.4606
35,0.4615,0.4615,0.4615,0.5028,0.5028,0.5028,0.5847,0.5847,0.5847,0.4907,0.4907,0.4907
36,0.6378,0.6378,0.6378,0.6194,0.6194,0.6194,0.5563,0.5563,0.5563,0.4097,0.4097,0.4097
37,0.5687,0.5687,0.5687,0.5024,0.5024,0.5024,0.5577,0.5577,0.5577,0.598,0.598,0.598
38,0.5083,0.5083,0.5083,0.4589,0.4589,0.4589,0.5973,0.5973,0.5973,0.626,0.626,0.626
39,0.6119,0.6119,0.6119,0.3595,0.3595,0.3595,0.5961,0.5961,0.5961,0.4019,0.4019,0.4019
40,0.6072,0.6072,0.6072,0.4145,0.4145,0.4145,0.5301,0.5301,0.5301,0.5674,0.5674,0.5674
41,0.6015,0.6015,0.6015,0.3882,0.3882,0.3882,0.5764,0.5764,0.5764,0.472,0.472,0.472
42,0.5997,0.5997,0.5997,0.5661,0.5661,0.5661,0.588,0.588,0.588,0.4777,0.4777,0.4777
43,0.5293,0.5293,0.5293,0.3869,0.3869,0.3869,0.5532,0.5532,0.5532,0.3392,0.3392,0.3392
44,0.5084,0.5084,0.5084,0.5439,0.5439,0.5439,0.5545,0.5545,0.5545,0.5626,0.5626,0.5626
45,0.5145,0.5145,0.5145,0.3912,0.3912,0.3912,0.5908,0.5908,0.5908,0.5081,0.5081,0.5081
46,0.4939,0.4939,0.4939,0.5004,0.5004,0.5004,0.5812,0.5812,0.5812,0.5226,0.5226,0.5226
47,0.6289,0.6289,0.6289,0.6749,0.6749,0.6749,0.5738,0.5738,0.5738,0.4466,0.4466,0.4466
48,0.6336,0.6336,0.6336,0.5714,0.5714,0.5714,0.5773,0.5773,0.5773,0.4766,0.4766,0.4766
49,0.5788,0.5788,0.5788,0.4785,0.4785,0.4785,0.6066,0.6066,0.6066,0.5105,0.5105,0.5105
